,City,Lat,Lon,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
273,San Patricio,28.017,-97.5169,60.8,55,1,11.5,US,1612681377
274,Sarai,53.7458,41.0213,-5.13,89,92,13.27,RU,1612681595
275,Port Blair,11.6667,92.75,83.35,66,24,13.11,IN,1612681194
276,Ciudad Sabinas Hidalgo,26.5,-100.1667,55.81,37,0,0.89,MX,1612681595
277,Ribeira Brava,32.65,-17.0667,54.0,85,83,8.99,PT,1612681595
278,Imperial,33.0334,-115.4175,55.99,32,1,3.44,US,1612681596
279,Bredasdorp,-34.5322,20.0403,66.2,88,100,2.3,ZA,1612681234
280,Naze,28.3667,129.4833,68.0,52,20,13.8,JP,1612681294
281,Moosomin,50.1333,-101.6677,-28.68,84,0,8.9,CA,1612681596
282,Yinzhu,35.8786,119.9753,48.2,37,0,13.42,CN,1612681596
283,Mwinilunga,-11.7358,24.4293,63.93,96,100,5.75,ZM,1612681596
284,Provideniya,64.3833,-173.3,-2.78,85,0,9.71,RU,1612681225
285,Abu Dhabi,24.4667,54.3667,71.6,56,0,13.8,AE,1612681170
286,Bow Island,49.8668,-111.3684,-11.2,77,100,5.75,CA,1612681596
287,Sheboygan,43.7333,-87.9334,21.2,59,1,13.8,US,1612681597
288,Nsanje,-16.92,35.262,89.37,62,65,1.99,MW,1612681597
289,Samarai,-10.6167,150.6667,86.58,67,100,6.2,PG,1612681597
290,Eidfjord,60.4675,7.0719,-4.0,76,0,6.51,NO,1612681597
291,Lakatoro,-16.0999,167.4164,82.02,64,2,6.44,VU,1612681597
292,Cururupu,-1.8283,-44.8683,75.22,94,69,3.0,BR,1612681597
293,Singaraja,-8.112,115.0882,84.33,69,81,9.15,ID,1612681404
294,Shingū,33.7333,135.9833,59.0,47,20,19.57,JP,1612681598
295,Eyl,7.9803,49.8164,81.75,58,54,17.07,SO,1612681598
296,Lethem,3.3803,-59.7968,75.7,76,100,13.49,GY,1612681598
297,Sandnessjøen,66.0217,12.6316,23.0,74,90,1.14,NO,1612681598
298,Marabu,4.4148,114.0089,84.2,84,40,5.75,MY,1612681598
299,Namatanai,-3.6667,152.4333,84.2,72,50,7.99,PG,1612681237
300,Hirara,24.8,125.2833,75.2,69,40,9.22,JP,1612681598
301,Jumla,29.2747,82.1838,55.63,31,0,5.37,NP,1612681383
302,Tomatlán,19.9333,-105.25,65.52,93,0,1.52,MX,1612681265
303,Karratha,-20.7377,116.8463,84.65,50,0,14.63,AU,1612681265
304,Haverfordwest,51.8017,-4.9691,39.0,90,79,11.01,GB,1612681599
305,Palestine,31.9216,35.2033,60.01,77,0,3.44,PS,1612681599
306,Berbérati,4.2612,15.7922,79.47,56,0,1.43,CF,1612681599
307,Coihueco,-36.6167,-71.8333,60.8,100,90,4.61,CL,1612681389
308,Caravelas,-17.7125,-39.2481,76.82,87,100,8.23,BR,1612681270
309,Robe,-37.1833,139.75,60.24,73,100,19.08,AU,1612681599
310,Gravdal,68.1214,13.5031,33.49,87,72,13.91,NO,1612681388
311,Barra de Tecoanapa,16.5167,-98.75,72.5,84,0,4.14,MX,1612681465
312,Nanortalik,60.1432,-45.2371,28.89,91,28,1.3,GL,1612681269
313,Labuhan,-6.8844,112.2051,83.8,75,100,20.85,ID,1612681479
314,Nakamura,32.9833,132.9333,58.44,52,0,8.9,JP,1612681600
315,Ambilobe,-13.2,49.05,85.55,66,100,4.07,MG,1612681457
316,Thompson,55.7435,-97.8558,-31.0,61,75,11.5,CA,1612681453
317,Walvis Bay,-22.9575,14.5053,64.0,88,34,9.22,NA,1612681493
318,Shubarshi,48.5872,57.1869,17.47,93,97,9.8,KZ,1612681600
319,Moche,-8.1711,-79.0092,70.86,73,100,5.17,PE,1612681600
320,Khatanga,71.9667,102.5,-31.49,79,0,8.81,RU,1612681195
321,Pringsewu,-5.3582,104.9744,84.06,77,100,4.83,ID,1612681601
322,Kodinsk,58.6881,99.1844,27.86,97,100,7.49,RU,1612681601
323,Zabul Province,32.25,67.25,56.43,34,0,1.92,AF,1612681507
324,Molina,-35.1167,-71.2833,60.8,100,90,2.3,CL,1612681601
325,Río Gallegos,-51.6226,-69.2181,49.91,59,0,6.29,AR,1612681585
326,Ulladulla,-35.35,150.4667,73.4,64,75,12.66,AU,1612681601
327,Clemency,49.5967,5.8758,41.0,96,100,3.0,LU,1612681602
328,Whitehorse,60.7161,-135.0538,-13.0,77,75,2.39,CA,1612681602
329,Asău,46.4333,26.4,28.0,74,97,3.53,RO,1612681246
330,Qaqortoq,60.7167,-46.0333,42.8,33,75,24.16,GL,1612681198
331,Eureka,40.8021,-124.1637,46.99,90,47,5.91,US,1612681254
332,Hay River,60.8156,-115.7999,-36.4,67,14,2.3,CA,1612681447
333,Tual,-5.6667,132.75,84.0,79,100,17.2,ID,1612681602
334,San Vicente,-26.6167,-54.1333,55.71,92,1,3.96,AR,1612681603
335,Province of Trapani,37.8333,12.6667,60.8,41,0,24.16,IT,1612681603
336,Pangai,-19.8,-174.35,77.0,100,90,6.91,TO,1612681599
337,Palestine,31.9216,35.2033,59.0,77,0,3.44,PS,1612681363
338,Cherskiy,68.75,161.3,-6.81,81,0,1.57,RU,1612681240
339,Dunedin,-45.8742,170.5036,62.01,80,1,1.99,NZ,1612681077
340,Trat,12.5,102.5,91.99,70,20,5.75,TH,1612681483
341,Huilong,31.8111,121.655,66.0,39,0,1.99,CN,1612681603
342,Nabire,-3.3667,135.4833,82.15,76,100,2.3,ID,1612681577
343,Chumikan,54.7183,135.315,-3.05,86,100,14.2,RU,1612681508
344,Pokhara,28.2333,83.9833,69.37,26,0,7.11,NP,1612681604
345,Vila Franca do Campo,37.7167,-25.4333,60.01,94,75,19.57,PT,1612681252
346,Bonavista,48.6499,-53.1147,35.01,93,0,11.5,CA,1612681604
347,Chengde,40.9725,117.9361,28.8,56,0,12.53,CN,1612681480
348,Phuket,8.0,98.25,91.4,49,20,11.5,TH,1612681604
349,Champerico,14.3,-91.9167,62.01,95,0,5.79,GT,1612681604
350,Olavarría,-36.8927,-60.3225,63.0,89,0,8.01,AR,1612681604
351,Dhidhdhoo,6.8833,73.1,81.27,73,4,11.95,MV,1612681605
352,Khovd,48.0056,91.6419,19.26,81,0,4.03,MN,1612681561
353,Gorahun,7.4661,-11.2375,70.81,92,80,0.54,SL,1612681605
354,Golovchino,50.5341,35.797,3.2,85,0,11.18,RU,1612681605
355,Sioux Lookout,50.1001,-91.917,-20.2,63,90,13.8,CA,1612681487
356,Oktyabr'skoye,43.0645,44.7417,33.8,86,75,4.47,RU,1612681605
357,Byron Bay,-28.65,153.6167,82.4,74,90,10.36,AU,1612681262
358,Santa Luzia,-19.7697,-43.8514,68.0,88,90,4.61,BR,1612681605
359,Mount Isa,-20.7333,139.5,84.2,70,75,8.05,AU,1612681227
360,Sisimiut,66.9395,-53.6735,28.74,80,0,21.0,GL,1612681296
361,Jishou,28.3167,109.7167,58.93,74,100,2.55,CN,1612681606
362,Ferrol,43.4832,-8.2369,46.0,81,100,8.99,ES,1612681606
363,Valdivia,-39.8142,-73.2459,57.2,100,90,3.44,CL,1612681334
364,Totness,5.8833,-56.3167,75.51,89,92,9.86,SR,1612681606
365,Bindura,-17.3019,31.3306,73.0,69,75,8.99,ZW,1612681606
366,Baykit,61.67,96.37,24.75,95,100,5.39,RU,1612681255
367,Kovdor,67.5662,30.4758,15.89,95,79,9.17,RU,1612681607
368,Kirensk,57.7853,108.1119,16.16,95,100,13.31,RU,1612681607
369,Gerāsh,27.6652,54.1371,60.8,55,40,6.02,IR,1612681607
370,Camacha,33.0833,-16.3333,59.0,67,40,9.22,PT,1612681379
371,Santa Maria,-29.6842,-53.8069,60.69,81,0,1.28,BR,1612681607
372,San Fernando,15.0286,120.6898,91.4,52,75,6.91,PH,1612681607
373,Antigonish,45.6169,-61.9986,28.99,88,81,5.99,CA,1612681607
374,Dalby,-27.1833,151.2667,93.99,32,23,4.0,AU,1612681608
375,Tigtabon,6.8956,122.1669,86.0,74,40,12.66,PH,1612681608
376,Buraidah,26.326,43.975,53.6,87,0,5.75,SA,1612681608
377,Leningradskiy,69.3833,178.4167,-11.51,72,20,3.15,RU,1612681246
378,Arlit,18.7369,7.3853,65.25,23,100,8.28,NE,1612681608
379,Manokwari,-0.8667,134.0833,81.28,78,100,2.13,ID,1612681553
380,Boueni,-12.9025,45.0761,87.8,66,75,9.22,YT,1612681608
381,Sambava,-14.2667,50.1667,85.8,61,77,3.83,MG,1612681608
382,Owando,-0.4819,15.8999,78.51,75,92,2.84,CG,1612681609
383,Totskoye,52.5248,52.7623,1.89,91,100,13.62,RU,1612681609
384,Winslow,35.0242,-110.6974,32.0,40,1,7.65,US,1612681561
385,Panjāb,34.388,67.0233,36.27,81,0,2.44,AF,1612681609
386,Rawson,-43.3002,-65.1023,57.74,67,98,12.68,AR,1612681463
387,San Juan,-31.5375,-68.5364,78.51,43,0,7.67,AR,1612681609
388,Ostrovnoy,68.0531,39.5131,8.37,90,100,14.76,RU,1612681265
389,Mahanje,-9.9333,35.3333,68.14,96,100,1.41,TZ,1612681610
390,Galle,6.0367,80.217,83.01,71,18,4.61,LK,1612681362
391,Albury,-36.0833,146.9167,82.4,39,0,11.5,AU,1612681554
392,Deputatsky,69.3,139.9,-31.36,85,8,1.34,RU,1612681250
393,Solwezi,-12.1688,26.3894,67.05,95,92,5.37,ZM,1612681610
394,Nurota,40.5614,65.6886,50.0,93,100,6.91,UZ,1612681610
395,Meulaboh,4.1363,96.1285,86.79,61,43,9.04,ID,1612681226
396,Sompeta,18.9333,84.6,79.09,51,100,11.48,IN,1612681610
397,Luganville,-15.5333,167.1667,81.09,70,77,7.52,VU,1612681590
398,Malavalli,12.3833,77.0833,84.2,30,1,10.36,IN,1612681415
399,São Raimundo das Mangabeiras,-7.0219,-45.4811,72.01,92,95,0.58,BR,1612681611
400,Pasni,25.2631,63.471,70.5,28,0,2.62,PK,1612681611
401,Blagoyevo,63.3667,47.9167,-22.83,83,96,10.65,RU,1612681611
402,Ojinaga,29.5667,-104.4167,51.8,16,1,10.36,MX,1612681611
403,Dolinsk,47.35,142.8,14.0,57,20,6.71,RU,1612681611
404,Gushikawa,26.3544,127.8686,73.0,64,75,10.36,JP,1612681611
405,Iracoubo,5.4802,-53.2011,76.93,88,100,12.86,GF,1612681612
406,Kushiro,42.975,144.3747,23.0,93,75,6.91,JP,1612681612
407,Barra do Corda,-5.5,-45.25,73.2,87,94,2.86,BR,1612681612
408,Marrakesh,31.6315,-8.0083,48.2,87,75,5.75,MA,1612681353
409,Salym,60.0625,71.4789,31.39,98,100,13.42,RU,1612681612
410,Harstad,68.799,16.5293,30.99,93,90,2.3,NO,1612681612
411,Chapada dos Guimarães,-15.4606,-55.7497,75.2,73,0,3.44,BR,1612681612
412,Comodoro Rivadavia,-45.8667,-67.5,55.4,82,75,3.44,AR,1612681323
413,Lagoa,39.05,-27.9833,59.7,90,100,23.09,PT,1612681377
414,Preeceville,51.95,-102.6677,-31.14,84,33,8.12,CA,1612681613
415,Nicoya,10.1483,-85.452,73.58,83,93,3.15,CR,1612681603
416,Bintulu,3.1667,113.0333,86.0,84,40,6.91,MY,1612681613
417,Severnoye,56.3491,78.3619,33.15,97,100,22.03,RU,1612681613
418,Derzhavīnsk,51.1,66.3167,11.48,93,100,26.87,KZ,1612681613
419,Usinsk,65.9939,57.5281,-28.75,83,100,16.75,RU,1612681613
420,Gamba,-2.65,10.0,79.75,86,99,1.14,GA,1612681277
421,Adeje,28.1227,-16.726,60.01,72,75,6.91,ES,1612681614
422,Okha,53.5739,142.9478,9.3,95,100,17.34,RU,1612681614
423,Skibbereen,51.55,-9.2667,35.6,93,40,11.5,IE,1612681614
424,Coromandel,-18.4733,-47.2003,63.97,99,66,1.97,BR,1612681614
425,Vinh Long,10.25,105.9667,87.8,70,40,3.44,VN,1612681614
426,Vilyuysk,63.7553,121.6247,-22.52,85,90,8.5,RU,1612681614
427,Voh,-20.9667,164.7,80.04,71,16,4.52,NC,1612681614
428,Gualaquiza,-3.4,-78.55,63.12,90,96,1.1,EC,1612681615
429,Kodra,50.5949,29.5587,10.0,85,20,2.24,UA,1612681615
430,Itarema,-2.9248,-39.9167,75.29,90,10,7.94,BR,1612681615
431,Concepción del Uruguay,-32.4825,-58.2372,66.0,90,0,3.85,AR,1612681615
432,Churapcha,62.0025,132.4325,-24.97,83,100,3.18,RU,1612681615
433,Kinablangan,7.6947,126.5503,78.03,89,100,6.71,PH,1612681615
434,Teya,60.3778,92.6267,32.76,94,100,9.86,RU,1612681615
435,Kolda,12.8833,-14.95,68.0,45,45,6.91,SN,1612681616
436,Matara,5.9485,80.5353,87.49,57,28,4.23,LK,1612681492
437,San Andrés,12.5847,-81.7006,80.6,74,20,17.27,CO,1612681616
438,Belaya Gora,68.5333,146.4167,-31.95,84,0,1.28,RU,1612681616
439,Tyukhtet,56.5389,89.3011,31.51,96,99,11.16,RU,1612681616
440,Betsiamites,48.9413,-68.646,23.0,73,1,14.97,CA,1612681616
441,Sørland,67.667,12.6934,35.76,79,76,15.59,NO,1612681616
442,Cairns,-16.9167,145.7667,86.0,79,75,4.61,AU,1612681585
443,The Valley,18.217,-63.0578,77.0,69,20,16.11,AI,1612681567
444,Mossamedes,-15.1961,12.1522,68.0,83,75,8.05,AO,1612681589
445,Fort Nelson,58.8053,-122.7002,-29.2,68,1,2.3,CA,1612681617
446,Olafsvik,64.8945,-23.7142,33.66,85,0,15.43,IS,1612681264
447,Garissa,-0.4536,39.6401,82.63,56,0,7.11,KE,1612681617
448,Mahabalipuram,12.6264,80.1722,84.2,51,40,12.66,IN,1612681538
449,Jhalidā,23.3667,85.9667,73.4,43,0,8.05,IN,1612681617
450,Kidal,18.4411,1.4078,65.07,24,100,0.83,ML,1612681617
451,Wahpeton,46.2652,-96.6059,-13.0,76,1,5.75,US,1612681617
452,Guilin,25.2819,110.2864,77.0,44,40,4.47,CN,1612681618
453,Vardø,70.3705,31.1107,25.61,93,100,27.67,NO,1612681281
454,Bilma,18.6853,12.9164,63.64,26,52,9.8,NE,1612681277
455,Cristalina,-16.7686,-47.6136,62.96,100,100,5.73,BR,1612681620
456,St. George's,12.0564,-61.7485,78.8,73,20,14.97,GD,1612681620
457,Keminmaa,65.8596,24.8228,17.6,86,0,10.36,FI,1612681620
458,Manche,49.0,-1.1667,37.4,93,75,11.5,FR,1612681621
459,Shimoda,34.6667,138.95,60.8,51,0,19.57,JP,1612681489
460,Lālmohan,22.3384,90.7419,77.74,39,0,8.57,BD,1612681621
461,Shiyan,32.6475,110.7781,64.27,28,100,7.4,CN,1612681621
462,Stornoway,58.2093,-6.3865,36.0,60,20,19.57,GB,1612681549
463,Plover,44.4564,-89.544,-11.2,70,1,5.75,US,1612681621
464,Andenes,69.3143,16.1194,30.2,93,100,9.22,NO,1612681621
465,Tapiramutá,-11.8472,-40.7914,66.36,99,100,0.96,BR,1612681621
466,Cosalá,24.4125,-106.6908,59.34,67,12,3.04,MX,1612681622
467,Östersund,63.1792,14.6357,12.2,85,90,9.22,SE,1612681622
468,Ho Chi Minh City,10.75,106.6667,87.8,58,40,5.75,VN,1612681622
469,Bestöbe,52.4994,73.0975,16.81,90,0,31.43,KZ,1612681622
470,Sicamous,50.8331,-118.9856,32.0,47,99,5.75,CA,1612681622
471,Brigantine,39.4101,-74.3646,41.0,75,1,3.44,US,1612681484
472,Lyskovo,56.0328,45.0422,-2.58,90,100,14.99,RU,1612681622
473,Bimbo,4.2567,18.4158,71.6,94,40,3.44,CF,1612681623
474,Xai-Xai,-25.0519,33.6442,83.17,63,91,3.11,MZ,1612681623
475,Barcelos,41.5388,-8.6151,37.99,93,0,3.42,PT,1612681508
476,Sechura,-5.5569,-80.8222,74.75,68,85,10.0,PE,1612681623
477,Cayenne,4.9333,-52.3333,77.0,100,75,2.3,GF,1612681623
478,Moindou,-21.6924,165.677,77.0,88,75,3.44,NC,1612681294
479,Killybegs,54.6333,-8.45,37.99,90,100,5.99,IE,1612681623
480,Arrondissement de Vire,48.9167,-0.8333,37.4,93,75,11.5,FR,1612681623
481,Acaraú,-2.8856,-40.12,75.81,89,19,8.63,BR,1612681624
482,Coahuayana Viejo,18.7333,-103.6833,68.9,88,16,2.26,MX,1612681271
483,Zitsa,39.6943,20.6372,33.8,100,75,2.3,GR,1612681624
484,Roura,4.7263,-52.3274,77.0,100,75,2.3,GF,1612681624
485,Quelimane,-17.8786,36.8883,82.4,89,75,6.91,MZ,1612681492
486,Saldanha,-33.0117,17.9442,68.0,73,95,10.36,ZA,1612681200
487,Linjiang,41.8069,126.9078,20.97,85,100,9.4,CN,1612681624
488,Barabinsk,55.3571,78.357,26.83,97,96,27.07,RU,1612681625
489,Mortka,59.3322,66.0214,31.66,99,100,6.85,RU,1612681625
490,Alta Floresta,-9.8756,-56.0861,70.25,99,100,3.38,BR,1612681263
491,Zawiercie,50.4877,19.4168,18.0,87,100,11.99,PL,1612681625
492,Tura,25.5198,90.2201,77.52,29,1,4.92,IN,1612681279
493,Florence,43.7667,11.25,55.99,87,75,4.61,IT,1612681393
494,Burgeo,47.6167,-57.6152,31.15,88,100,37.22,CA,1612681218
495,Cabedelo,-6.9811,-34.8339,75.2,94,20,6.15,BR,1612681451
496,Székkutas,46.5,20.5333,37.99,100,90,5.75,HU,1612681625
497,Ambulu,-8.345,113.6058,85.37,74,59,6.13,ID,1612681626
498,Kismayo,-0.3582,42.5454,82.26,66,5,14.72,SO,1612681626
499,Bridgend,51.5058,-3.5772,37.4,93,90,16.11,GB,1612681626
500,Ryazan,54.6197,39.74,-4.4,90,100,13.47,RU,1612681484
501,Takoradze,4.8845,-1.7554,79.0,88,100,6.49,GH,1612681496
502,Coxim,-18.5067,-54.76,68.05,71,0,3.51,BR,1612681626
503,Bocas del Toro,9.3333,-82.25,77.32,85,100,4.21,PA,1612681626
504,Huarmey,-10.0681,-78.1522,71.42,71,100,5.12,PE,1612681626
505,Mae Hong Son,19.3003,97.9685,82.4,47,20,3.44,TH,1612681627
506,Sabang,5.8933,95.3214,82.15,78,54,18.59,ID,1612681226
507,Semīrom,31.4167,51.5667,33.08,95,100,5.12,IR,1612681627
508,Albertville,34.2676,-86.2089,39.0,100,90,4.61,US,1612681627
509,Christchurch,-43.5333,172.6333,64.4,72,20,23.02,NZ,1612681519
510,Ellensburg,46.9965,-120.5479,39.2,70,1,20.71,US,1612681627
511,Laredo,27.5064,-99.5075,51.8,37,1,6.91,US,1612681627
512,Desnogorsk,54.1508,33.2815,-1.35,92,69,8.25,RU,1612681627
513,Tamandaré,-8.7597,-35.1047,76.82,84,8,6.42,BR,1612681627
514,Stromness,58.965,-3.296,32.0,74,90,24.16,GB,1612681628
515,Barabai,-2.5833,115.3833,88.39,64,100,1.81,ID,1612681562
516,Trairi,-3.2778,-39.2689,75.94,89,52,5.28,BR,1612681628
517,Buchanan,5.8808,-10.0467,75.2,94,40,1.66,LR,1612681467
518,Ayagoz,47.9714,80.4392,32.85,94,100,25.93,KZ,1612681628
519,Kumul,42.8,93.45,44.58,47,0,2.13,CN,1612681233
520,Chickasha,35.0526,-97.9364,28.4,86,90,3.44,US,1612681628
521,Araxá,-19.5933,-46.9406,63.03,93,55,0.83,BR,1612681628
522,Nemuro,43.3236,145.575,21.2,73,75,9.22,JP,1612681629
523,Port Moresby,-9.4431,147.1797,91.4,52,40,23.02,PG,1612681511
524,Narsaq,60.9167,-46.05,41.0,38,75,31.07,GL,1612681280
525,Salò,45.6086,10.531,51.01,87,90,10.36,IT,1612681629
526,Puerto Madryn,-42.7692,-65.0385,58.23,67,100,13.96,AR,1612681347
527,Avallon,47.4833,3.9,41.72,90,100,14.88,FR,1612681629
528,Omsukchan,62.5333,155.8,-3.19,88,100,10.96,RU,1612681480
529,La Santisima Trinidad,-14.8333,-64.9,72.81,95,51,1.95,BO,1612681493
530,Pacasmayo,-7.4006,-79.5714,71.96,70,99,7.18,PE,1612681629
531,Broken Hill,-31.95,141.4333,80.6,29,0,12.66,AU,1612681248
532,Nelson Bay,-32.7167,152.15,79.0,78,0,18.41,AU,1612681630
533,Doha,25.2867,51.5333,79.0,60,0,14.97,QA,1612681630
534,Tommot,58.9564,126.2925,-8.84,86,79,1.28,RU,1612681630
535,George Town,5.4112,100.3354,95.0,43,20,6.91,MY,1612681439
536,Marfino,55.7028,37.3822,5.0,78,75,13.42,RU,1612681630
537,Pīshvā,35.308,51.7267,48.2,87,90,6.91,IR,1612681629
538,Nieuw Amsterdam,5.8833,-55.0833,75.2,100,75,4.61,SR,1612681630
539,Lima,-12.0432,-77.0282,73.0,78,0,5.75,PE,1612681620
540,Mtsensk,53.2766,36.5733,-4.72,90,9,9.55,RU,1612681631
541,Kapuskasing,49.4169,-82.4331,-11.2,77,0,3.44,CA,1612681631
542,Flinders,-34.5833,150.8552,75.99,69,21,5.99,AU,1612681266
543,Suileng,47.25,127.0833,2.8,90,100,9.46,CN,1612681631
544,Mossendjo,-2.9506,12.7261,74.39,91,10,1.07,CG,1612681631
545,Kisangani,0.5167,25.2,77.0,53,0,3.38,CD,1612681631
546,Basoko,1.2391,23.616,78.66,49,67,3.6,CD,1612681631
547,Phang Nga,8.4509,98.5298,93.2,49,20,11.5,TH,1612681631
