City,Lat,Lon,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
Havre-St-Pierre,50.2334,-63.5986,10.4,56,90,5.75,CA,1613498114
Motala,58.5371,15.0365,30.2,80,90,13.8,SE,1613498115
Lüderitz,-26.6481,15.1594,68.36,61,0,9.44,NA,1613498008
Pacific Grove,36.6177,-121.9166,54.0,76,20,8.05,US,1613497865
Mogadishu,2.0371,45.3438,77.32,82,0,20.38,SO,1613498115
Halifax,44.6453,-63.5724,32.0,93,90,14.97,CA,1613498086
Vryburg,-26.9566,24.7284,76.62,42,65,2.68,ZA,1613498116
Pimenteiras,-6.2453,-41.4192,77.74,88,86,1.77,BR,1613498116
Tomatlán,19.9333,-105.25,78.93,43,1,6.4,MX,1613498116
Turku,60.4515,22.2687,17.6,79,0,5.75,FI,1613498096
Faya,18.3851,42.4509,64.4,55,0,4.61,SA,1613498116
Lebu,-37.6167,-73.65,60.26,67,24,13.31,CL,1613498116
Cap Malheureux,-19.9842,57.6142,77.0,86,99,3.0,MU,1613498117
Port-Gentil,-0.7193,8.7815,84.2,79,75,9.22,GA,1613498117
Hobyo,5.3505,48.5268,78.51,76,3,13.13,SO,1613498117
Barra Patuca,15.8,-84.2833,83.7,66,8,9.01,HN,1613498117
Brownsville,25.9018,-97.4975,35.6,80,90,9.22,US,1613498008
Changping,40.2186,116.2197,21.0,27,0,8.95,CN,1613498117
Hofn,64.2539,-15.2082,41.13,89,100,14.0,IS,1613498117
Kosh-Agach,50.0,88.6667,5.5,74,74,1.25,RU,1613498118
Dimāpur,25.9,93.7333,61.56,51,0,1.43,IN,1613498118
Taoudenni,22.6783,-3.9836,76.41,18,10,18.57,ML,1613498118
Nouadhibou,20.931,-17.0347,82.4,23,32,11.5,MR,1613498118
Naze,28.3667,129.4833,54.18,84,43,15.82,JP,1613498118
Palmer,42.1584,-72.3287,41.0,100,90,3.44,US,1613498118
Lakes Entrance,-37.8811,147.981,54.0,95,53,5.28,AU,1613498118
Waitati,-45.75,170.5667,46.99,82,0,8.01,NZ,1613498118
Nishihara,26.1842,127.7558,62.6,63,75,3.44,JP,1613498119
Nchelenge,-9.3451,28.734,74.7,80,85,7.92,ZM,1613498119
Boyolangu,-8.1181,111.8935,77.11,86,100,0.67,ID,1613498119
Villa Rica,33.7321,-84.9191,24.8,93,90,9.22,US,1613498119
Pisco,-13.7,-76.2167,75.99,73,0,11.5,PE,1613498119
Nelson Bay,-32.7167,152.15,69.8,83,75,8.05,AU,1613498119
Tucuruí,-3.7661,-49.6725,83.41,74,99,3.2,BR,1613498119
Port Moresby,-9.4431,147.1797,75.2,94,20,10.36,PG,1613498119
Berlevåg,70.8578,29.0864,19.4,79,0,8.05,NO,1613498120
Pitimbu,-7.4706,-34.8086,87.8,66,40,10.36,BR,1613498120
Itoman,26.1247,127.6694,62.6,59,75,4.61,JP,1613498120
Mendi,-6.1761,143.6513,55.85,99,100,1.43,PG,1613498120
Stawell,-37.05,142.7667,68.77,53,62,3.94,AU,1613498120
Biak,-0.9131,122.8766,77.36,78,83,2.73,ID,1613498120
Waipawa,-41.4122,175.5153,55.4,76,90,21.85,NZ,1613498121
Alim,9.5649,122.4876,77.74,81,100,7.0,PH,1613498121
Svetlaya,46.5389,138.3297,22.14,91,100,13.04,RU,1613498121
Ostrovnoy,68.0531,39.5131,1.72,90,99,4.94,RU,1613498121
Moose Factory,51.2585,-80.6094,-4.0,71,1,0.78,CA,1613498121
Sørland,67.667,12.6934,33.8,64,0,9.22,NO,1613498121
Dumas,35.8656,-101.9732,17.6,79,1,16.11,US,1613498121
Tamboril,19.4854,-70.611,86.0,48,40,12.66,DO,1613498121
Villaviciosa,43.4813,-5.4357,57.2,67,20,2.3,ES,1613498121
Monselice,45.2424,11.749,42.01,63,59,1.99,IT,1613498122
Dano,11.15,-3.0667,96.46,19,44,5.26,BF,1613498122
San-Pédro,4.7485,-6.6363,82.04,78,70,6.8,CI,1613498122
Malatya Province,38.5,38.0,42.8,93,90,2.3,TR,1613497922
Amahai,-3.3333,128.9167,79.09,79,100,5.44,ID,1613498122
Talcahuano,-36.7167,-73.1167,62.6,77,90,11.5,CL,1613498122
Kismayo,-0.3582,42.5454,77.16,82,10,18.07,SO,1613498123
Jalu,29.0331,21.5482,50.18,47,35,15.43,LY,1613498123
Yudong,29.385,106.5194,50.0,93,36,4.47,CN,1613498123
Dalvik,65.9702,-18.5286,35.6,87,90,1.63,IS,1613498123
Banes,20.9625,-75.7186,84.2,54,40,2.3,CU,1613498123
Azul,-36.777,-59.8585,75.0,57,86,5.99,AR,1613498123
Pevek,69.7008,170.3133,-22.38,88,3,3.36,RU,1613498124
Cape Girardeau,37.3834,-89.7168,6.8,66,1,5.75,US,1613498124
Kahului,20.8947,-156.47,71.01,82,1,5.75,US,1613498071
Elko,41.0002,-115.5012,33.01,77,85,15.01,US,1613498124
Kota Belud,6.351,116.4305,78.8,83,20,5.75,MY,1613498124
Jódar,37.8406,-3.3526,51.76,54,93,2.33,ES,1613498124
Erzurum Province,40.0,41.5,41.0,48,75,10.36,TR,1613498124
North Bend,43.4065,-124.2243,46.99,93,75,5.75,US,1613498125
Plettenberg Bay,-34.0527,23.3716,65.35,74,19,16.37,ZA,1613498126
Bereket,39.2446,55.5154,58.95,42,7,8.9,TM,1613498126
Dunedin,-45.8742,170.5036,46.99,80,0,4.9,NZ,1613497917
Lake Havasu City,34.4839,-114.3224,60.01,33,1,5.75,US,1613498126
Lae,-6.7221,146.9847,78.28,81,100,7.49,PG,1613498126
Departamento de Maldonado,-34.6667,-54.9167,73.4,83,75,10.36,UY,1613498126
Srikakulam,18.3,83.9,72.45,83,0,3.87,IN,1613498126
Mabaruma,8.2,-59.7833,83.73,56,97,9.71,GY,1613498127
Neiafu,-18.65,-173.9833,71.6,94,20,13.18,TO,1613498127
Constitución,-35.3333,-72.4167,62.74,66,54,7.9,CL,1613498019
Mlonggo,-6.5333,110.7,79.09,83,88,7.56,ID,1613498127
Ubari,26.5921,12.7805,45.23,53,0,5.59,LY,1613498127
San Andrés,12.5847,-81.7006,86.0,70,20,17.27,CO,1613498127
Saldanha,-33.0117,17.9442,75.2,43,0,14.97,ZA,1613498127
Gizo Government Station,-8.103,156.8419,82.35,76,89,6.46,SB,1613498127
Kutum,14.2,24.6667,69.53,21,12,23.87,SD,1613498128
Chengzhong,30.95,113.55,46.4,66,0,4.83,CN,1613498128
Gargždai,55.7128,21.4033,28.4,64,0,6.91,LT,1613498128
Mīzan Teferī,6.9833,35.5833,72.0,46,75,2.57,ET,1613498128
High Level,58.5169,-117.136,-16.6,83,20,1.39,CA,1613498128
Bani Walid,31.7566,13.9942,48.4,52,55,6.78,LY,1613498128
Fuyu,45.1833,124.8167,-2.33,85,78,13.67,CN,1613498129
Tías,28.9611,-13.645,68.0,45,0,12.66,ES,1613498129
Kavaratti,10.5669,72.642,81.77,55,0,2.75,IN,1613498129
Ţahţā,26.7693,31.5021,60.8,29,0,19.57,EG,1613498129
Indi,17.1667,75.9667,75.87,26,0,8.63,IN,1613498129
San Carlos del Zulia,9.0,-71.9135,86.81,63,89,3.76,VE,1613498129
Torbay,47.6666,-52.7314,28.0,63,75,13.8,CA,1613498130
Cap-aux-Meules,47.3821,-61.8597,24.8,86,100,6.91,CA,1613497862
Yangjiang,21.85,111.9667,65.28,78,4,3.8,CN,1613498130
Olafsvik,64.8945,-23.7142,39.51,83,81,4.36,IS,1613498130
Christchurch,-43.5333,172.6333,44.01,93,24,2.3,NZ,1613497859
Neuquén,-38.9516,-68.0591,84.2,32,0,3.44,AR,1613498130
Karakol,42.4907,78.3936,27.34,76,82,3.8,KG,1613498130
Fairbanks,64.8378,-147.7164,9.0,85,90,1.45,US,1613498131
Tarakan,3.3,117.6333,80.26,80,41,10.8,ID,1613498131
Port Hardy,50.6996,-127.4199,44.6,93,90,10.36,CA,1613498131
Kumul,42.8,93.45,32.11,79,0,1.3,CN,1613498131
Bilma,18.6853,12.9164,66.13,27,0,14.38,NE,1613498131
Mananjary,-21.2167,48.3333,75.87,92,100,5.19,MG,1613498131
Verkhnyaya Toyma,62.2349,44.9985,-3.71,91,93,3.24,RU,1613498131
Coos Bay,43.3665,-124.2179,46.99,93,75,5.75,US,1613498132
Pedasí,7.5333,-80.0333,82.94,69,84,7.92,PA,1613498132
Tombouctou,20.0,-3.0,81.81,13,1,6.26,ML,1613498132
Sainte-Rose,16.3324,-61.6979,82.4,61,75,16.11,GP,1613498132
Aksarka,66.5606,67.7975,-17.45,87,98,10.54,RU,1613498132
Encheng,22.1839,112.3026,66.31,73,20,4.32,CN,1613498132
Kununurra,-15.7667,128.7333,80.6,71,100,3.8,AU,1613498133
Castaños,26.7833,-101.4167,47.52,49,0,3.69,MX,1613498133
Galle,6.0367,80.217,77.85,80,86,1.88,LK,1613497855
Caucayá,-0.1934,-74.7819,95.18,38,90,5.95,CO,1613498133
Bad Gandersheim,51.8667,10.0333,39.99,90,100,1.99,DE,1613498133
Chara,56.9064,118.2631,-25.49,75,0,0.94,RU,1613498133
Bathsheba,13.2167,-59.5167,84.2,54,40,23.02,BB,1613498133
Āsasa,7.1,39.2,63.41,41,100,1.45,ET,1613498133
Gualeguaychú,-33.0094,-58.5172,82.0,41,0,7.0,AR,1613498133
Ishinomaki,38.4167,141.3,34.27,84,32,19.64,JP,1613498134
Kargasok,59.0556,80.8572,-5.64,92,96,4.61,RU,1613498134
Swan River,52.1058,-101.2676,-9.4,54,0,3.44,CA,1613498134
Eenhana,-17.4667,16.3333,89.6,23,40,4.61,NA,1613498134
Pangnirtung,66.1451,-65.7125,-14.8,70,75,3.44,CA,1613498134
Tura,25.5198,90.2201,63.09,32,0,2.1,IN,1613498134
Beringovskiy,63.05,179.3167,-13.94,86,54,13.53,RU,1613498134
San Patricio,28.017,-97.5169,30.0,64,90,13.8,US,1613498135
Niamey,13.5137,2.1098,98.6,5,7,13.8,NE,1613498135
Shingū,33.7333,135.9833,41.27,68,23,10.85,JP,1613498135
Kasongo-Lunda,-6.4667,16.8167,76.48,75,75,1.59,CD,1613498135
Henties Bay,-22.116,14.2845,68.0,81,1,8.99,NA,1613498135
Vila Franca do Campo,37.7167,-25.4333,60.8,63,20,16.11,PT,1613498135
Wilmington,34.2257,-77.9447,70.0,60,1,18.41,US,1613497929
Bubaque,11.2833,-15.8333,77.58,63,29,13.94,GW,1613498136
Tarauacá,-8.1614,-70.7656,75.06,96,100,3.42,BR,1613498136
São José da Coroa Grande,-8.8978,-35.1478,83.26,72,60,14.52,BR,1613498136
Tucumcari,35.1717,-103.725,26.6,74,1,12.66,US,1613498136
Lodja,-3.4833,23.4333,77.81,75,74,1.79,CD,1613498136
Novodolinskiy,49.705,72.7047,30.2,93,90,13.42,KZ,1613498137
Candelaria,13.9311,121.4233,73.0,89,7,4.29,PH,1613498137
Nabire,-3.3667,135.4833,75.4,84,100,4.27,ID,1613498137
Deming,32.2687,-107.7586,37.4,70,90,9.22,US,1613498137
Sehore,23.2,77.0833,66.2,72,40,5.75,IN,1613498137
Jardim,-21.4803,-56.1381,79.97,79,96,7.47,BR,1613498138
Yerbogachën,61.2767,108.0108,-13.88,86,95,9.22,RU,1613498138
Vestmannaeyjar,63.4427,-20.2734,41.0,87,75,14.97,IS,1613498138
Katsuura,35.1333,140.3,51.8,43,20,33.38,JP,1613498138
Garoowe,8.4054,48.4845,70.57,75,13,16.53,SO,1613498138
Portmore,17.9702,-76.8672,86.0,65,20,27.63,JM,1613498138
Sobolevo,54.4299,31.8996,12.63,95,100,14.79,RU,1613498138
Kashgar,39.4547,75.9797,39.2,38,99,4.47,CN,1613498138
Iztapa,13.9333,-90.7075,86.0,62,1,11.5,GT,1613498138
Salinas,36.6777,-121.6555,54.0,82,1,3.94,US,1613498073
Kandrian,-6.2167,149.55,79.11,80,100,10.42,PG,1613498139
Batagay,67.6333,134.6333,-24.93,82,99,1.01,RU,1613498139
Souillac,-20.5167,57.5167,77.0,94,75,4.61,MU,1613498139
Beidao,34.5686,105.8933,33.01,82,8,5.99,CN,1613498139
Shaoxing,30.011,120.5715,46.0,81,51,8.95,CN,1613498139
Quatre Cocos,-20.2078,57.7625,77.0,94,75,4.61,MU,1613498139
Richards Bay,-28.783,32.0377,69.55,74,57,13.85,ZA,1613498140
Jodhpur,26.2867,73.03,66.9,23,0,9.24,IN,1613498140
Bururi Province,-3.85,29.6333,60.03,97,97,3.47,BI,1613498140
Mount Isa,-20.7333,139.5,77.0,78,32,9.22,AU,1613498140
Seminole,28.7086,-81.2081,75.0,56,1,13.8,US,1613498140
Karia,11.7306,11.1629,79.38,14,0,12.1,NG,1613498141
Pakenham,-38.0667,145.4833,60.01,89,92,1.99,AU,1613498141
Springbok,-29.6643,17.8865,78.8,19,0,17.27,ZA,1613498141
Ndélé,8.4109,20.6473,84.27,16,58,3.87,CF,1613497895
Paragominas,-2.9667,-47.4833,77.34,93,96,4.68,BR,1613498141
Artvin Province,41.1667,41.8333,37.4,93,75,9.22,TR,1613498141
Aswān,24.0934,32.907,64.47,36,97,19.91,EG,1613498141
Buritis,-15.6178,-46.4233,83.62,68,97,6.13,BR,1613498141
Kawalu,-7.3817,108.2082,74.26,89,100,1.77,ID,1613498141
Kabinda,-6.1333,24.4833,71.22,91,100,3.24,CD,1613498142
Maumere,-8.6199,122.2111,78.69,78,100,2.66,ID,1613498142
Olean,42.0776,-78.4297,28.4,100,90,4.61,US,1613498032
Malé,4.1748,73.5089,84.2,74,40,6.91,MV,1613498142
Andenes,69.3143,16.1194,28.4,80,0,12.66,NO,1613498142
Makkah al Mukarramah,21.4267,39.8261,81.05,47,0,10.71,SA,1613497927
Kawhia,-38.0651,174.8183,55.99,84,77,3.0,NZ,1613498142
Amoy,24.4798,118.0819,60.8,82,23,2.24,CN,1613498143
Mahajanga,-15.7167,46.3167,81.72,83,100,9.75,MG,1613498143
Okha,53.5739,142.9478,17.49,94,100,28.45,RU,1613498143
Tual,-5.6667,132.75,83.79,78,100,18.03,ID,1613498143
Ahipara,-35.1667,173.1667,65.79,71,96,8.03,NZ,1613498143
Moses Lake,47.1301,-119.2781,21.2,86,90,4.61,US,1613498143
Mathbaria,22.2876,89.9593,65.21,57,0,3.24,BD,1613498143
Zarubino,42.63,131.0922,7.7,84,100,26.62,RU,1613498144
Sabha,27.0377,14.4283,47.37,52,0,11.54,LY,1613498144
Yacuiba,-22.038,-63.6797,71.6,100,90,9.22,BO,1613498121
Zig,40.127,-92.7663,8.01,60,1,5.75,US,1613498144
Hay River,60.8156,-115.7999,-14.8,76,19,1.14,CA,1613498145
Assiut,27.181,31.1837,55.4,94,45,20.71,EG,1613498145
Tancítaro,19.3333,-102.3667,66.2,42,1,6.91,MX,1613498145
La Romana,18.4273,-68.9728,84.2,58,40,13.8,DO,1613498145
Médéa,36.2642,2.7539,59.0,55,0,4.61,DZ,1613498145
Zhigalovo,54.8097,105.1578,0.59,90,100,3.62,RU,1613498145
Seymchan,62.8833,152.4333,-19.34,86,100,1.97,RU,1613498145
Blacksburg,37.2296,-80.4139,39.2,75,90,9.22,US,1613497979
Flinders,-34.5833,150.8552,64.0,87,97,1.01,AU,1613498146
Airai,-8.9266,125.4092,61.2,100,100,2.42,TL,1613498146
Ténenkou,14.4572,-4.9169,95.31,10,2,7.4,ML,1613498146
Duluth,46.7833,-92.1066,9.0,55,1,2.82,US,1613498146
Paine,-33.8167,-70.75,62.6,77,90,6.44,CL,1613498146
Conceição do Araguaia,-8.2578,-49.2647,81.72,80,100,4.05,BR,1613498146
Albury,-36.0833,146.9167,66.2,94,88,2.3,AU,1613498146
Eskişehir,39.7767,30.5206,24.8,74,75,17.27,TR,1613498146
Atambua,-9.1061,124.8925,74.52,90,100,1.63,ID,1613498146
Nanyang,32.9947,112.5328,47.08,46,0,10.56,CN,1613498147
Caarapó,-22.6342,-54.8222,86.56,54,22,4.09,BR,1613498147
Iquitos,-3.7481,-73.2472,78.8,89,75,5.75,PE,1613498147
Kerema,-7.9631,145.7785,78.53,80,100,9.57,PG,1613498147
Geraldton,-28.7667,114.6,71.6,88,90,10.36,AU,1613498147
Karratha,-20.7377,116.8463,82.18,72,92,9.04,AU,1613498147
Saint-Augustin,51.226,-58.6502,12.29,90,94,8.75,CA,1613498148
Alekseyevsk,57.8406,108.3492,2.14,91,96,9.95,RU,1613498148
Zyryanovsk,49.7386,84.2719,14.29,89,71,0.85,KZ,1613498148
Sitka,57.0531,-135.33,32.0,80,90,4.61,US,1613498148
Kodinsk,58.6881,99.1844,10.0,95,100,3.02,RU,1613498148
Gladstone,-23.85,151.25,73.4,68,5,9.22,AU,1613498002
Codrington,-38.2667,141.9667,68.2,54,50,6.44,AU,1613498148
Caravelas,-17.7125,-39.2481,83.55,65,73,12.15,BR,1613498148
Olinda,-8.0089,-34.8553,82.4,69,40,10.36,BR,1613498149
Aklavik,68.2191,-135.0107,-14.8,70,90,10.36,CA,1613498149
Kazanka,47.8462,32.8218,6.8,72,0,2.24,UA,1613498149
Aubenas,44.6201,4.3899,46.99,93,97,3.49,FR,1613498149
Robertsport,6.7533,-11.3686,81.63,81,100,13.29,LR,1613498149
Eureka,40.8021,-124.1637,48.99,97,19,3.33,US,1613498029
Hare Bay,48.8499,-54.0148,24.8,58,100,6.91,CA,1613498149
Catuday,16.2923,119.8062,76.73,74,35,6.87,PH,1613498149
Coahuayana Viejo,18.7333,-103.6833,68.0,68,1,6.4,MX,1613498150
Kindu,-2.95,25.95,75.87,72,100,0.98,CD,1613498150
Mount Gambier,-37.8333,140.7667,69.8,60,23,9.22,AU,1613498150
Danilovka,50.3557,44.1168,5.2,92,99,5.93,RU,1613498150
Narganá,9.4428,-78.5906,82.38,74,98,11.95,PA,1613498150
Ugoofaaru,5.6667,73.0,81.21,73,100,10.47,MV,1613498150
Kattivākkam,13.2167,80.3167,75.2,73,20,3.44,IN,1613498150
Godda,24.8333,87.2167,64.81,41,25,1.95,IN,1613498151
St. George's,12.0564,-61.7485,84.2,61,40,25.32,GD,1613498009
Virginia Beach,36.8529,-75.978,69.01,64,75,19.57,US,1613498151
Glazov,58.1394,52.6584,-3.95,91,99,8.25,RU,1613498151
Båtsfjord,70.6345,29.7185,14.0,79,0,8.05,NO,1613498151
Puerto del Rosario,28.5004,-13.8627,69.8,49,0,12.66,ES,1613497898
Atikokan,48.7555,-91.6216,2.03,87,0,5.03,CA,1613498152
Kristiansund,63.1115,7.732,35.6,60,0,6.91,NO,1613498152
Lilongwe,-13.9669,33.7873,72.99,74,100,4.68,MW,1613498152
Harper,4.375,-7.7169,82.44,77,99,7.09,LR,1613498152
Portland,45.5234,-122.6762,44.01,81,75,8.05,US,1613497960
Xapuri,-10.6517,-68.5044,78.8,78,90,9.22,BR,1613498153
Mwanza,-2.5167,32.9,69.8,88,40,11.5,TZ,1613498153
Hurricane,37.1753,-113.2899,52.0,29,1,17.27,US,1613498153
Daru,-9.0763,143.2092,76.48,92,100,5.44,PG,1613498153
Elizabeth City,36.2946,-76.2511,68.0,73,75,17.27,US,1613498153
Estevan,49.1334,-102.9842,-0.4,64,90,14.97,CA,1613498153
São Filipe,14.8961,-24.4956,74.19,63,43,12.41,CV,1613498153
Ferme-Neuve,46.7001,-75.4493,6.8,78,100,14.97,CA,1613498154
Kangalassy,62.3464,129.9628,-38.2,67,10,2.24,RU,1613498154
Shāhpura,27.3833,75.9667,68.0,40,75,3.44,IN,1613498063
Gravdal,68.1214,13.5031,32.0,64,20,6.91,NO,1613498154
Metro,-5.1131,105.3067,74.71,96,100,6.93,ID,1613498154
Yulara,-25.2406,130.9889,75.2,33,8,6.91,AU,1613498154
Lumphat,13.4878,106.9816,70.74,58,23,7.87,KH,1613498154
Caçu,-18.5567,-51.1308,88.0,52,26,6.55,BR,1613498154
Atar,20.5169,-13.0499,84.31,14,74,11.63,MR,1613498155
Khandyga,62.6667,135.6,-28.48,86,100,0.98,RU,1613498155
Shawnee,39.05,-95.7669,3.99,55,1,3.83,US,1613497755
Östersund,63.1792,14.6357,15.8,92,90,11.5,SE,1613498155
Cervia,44.2657,12.3427,46.99,76,40,5.75,IT,1613498155
Kajaani,64.2273,27.7285,-4.0,92,0,9.22,FI,1613498155
Ribas do Rio Pardo,-20.4431,-53.7592,78.89,82,78,8.05,BR,1613498156
Todos Santos,23.45,-110.2167,66.0,72,15,5.01,MX,1613498157
Mandan,46.8267,-100.8896,1.4,46,75,16.11,US,1613498097
Auchi,7.0667,6.2667,92.55,22,58,1.52,NG,1613498157
Oxford,51.7522,-1.256,50.0,87,75,14.97,GB,1613498149
Ocosingo,17.0667,-92.25,73.4,88,90,11.5,MX,1613498157
Santa Catarina de Tepehuanes,25.35,-105.7333,65.01,26,6,21.41,MX,1613498157
Sibu,2.3,111.8167,77.0,88,20,1.28,MY,1613498157
Secunda,-26.55,29.1667,57.99,87,13,3.0,ZA,1613498158
Oleśnica,51.2134,17.3899,37.99,79,100,6.35,PL,1613498158
